,date,index,pull_call_ratio
0,2021-01-02,50.0,0.5872539679756988
1,2021-01-03,50.0,0.5872539679756988
2,2021-01-04,50.0,0.5872539679756988
3,2021-01-05,50.0,0.591191217303833
4,2021-01-06,50.0,0.5807915476136919
5,2021-01-07,50.0,0.568809695504045
6,2021-01-08,50.0,0.560314815550691
7,2021-01-09,50.0,0.5507748769301033
8,2021-01-10,50.0,0.5507748769301033
9,2021-01-11,50.0,0.5507748769301033
10,2021-01-12,50.0,0.5347467985034398
11,2021-01-13,50.0,0.5214866030652257
12,2021-01-14,50.0,0.5127700360199657
13,2021-01-15,50.0,0.5159901104635612
14,2021-01-16,50.0,0.5109047587488557
15,2021-01-17,50.0,0.5109047587488557
16,2021-01-18,50.0,0.5109047587488557
17,2021-01-19,50.0,0.5109047587488557
18,2021-01-20,50.0,0.5172025940444855
19,2021-01-21,50.0,0.5203772892956492
20,2021-01-22,68.9,0.5304267691768862
21,2021-01-23,69.7,0.5081120033260781
22,2021-01-24,69.7,0.5081120033260781
23,2021-01-25,69.7,0.5081120033260781
24,2021-01-26,67.4,0.48907827600124715
25,2021-01-27,28.200000000000003,0.48654304494356315
26,2021-01-28,52.900000000000006,0.47716256089135484
27,2021-01-29,40.966666666666676,0.5068950404915499
28,2021-01-30,43.400000000000006,0.5115737507266036
29,2021-01-31,43.400000000000006,0.5115737507266036
30,2021-02-01,43.400000000000006,0.5115737507266036
31,2021-02-02,60.46666666666667,0.5236006410976332
32,2021-02-03,59.199999999999996,0.5266632435462422
33,2021-02-04,61.06666666666667,0.5345098336248775
34,2021-02-05,68.0,0.5083090396432978
35,2021-02-06,72.86666666666667,0.4975072087085389
36,2021-02-07,72.86666666666667,0.4975072087085389
37,2021-02-08,72.86666666666667,0.4975072087085389
38,2021-02-09,75.4,0.48197616545556665
39,2021-02-10,75.26666666666667,0.4726324517807855
40,2021-02-11,76.0,0.46016487130111977
41,2021-02-12,77.66666666666667,0.45942609147493696
42,2021-02-13,73.93333333333334,0.4695092362016503
43,2021-02-14,73.93333333333334,0.4695092362016503
44,2021-02-15,73.93333333333334,0.4695092362016503
45,2021-02-16,73.93333333333334,0.4695092362016503
46,2021-02-17,70.2,0.48200937972420127
47,2021-02-18,62.53333333333334,0.5029638054778456
48,2021-02-19,56.239999999999995,0.5208235561461567
49,2021-02-20,52.48,0.5275057219857046
50,2021-02-21,52.48,0.5275057219857046
51,2021-02-22,52.48,0.5275057219857046
52,2021-02-23,50.56,0.5471995733796644
53,2021-02-24,63.8,0.5434234200253428
54,2021-02-25,46.160000000000004,0.5514953586713316
55,2021-02-26,53.52,0.5813228669266013
56,2021-02-27,58.52,0.582750900164644
57,2021-02-28,58.52,0.582750900164644
58,2021-03-01,58.52,0.582750900164644
59,2021-03-02,50.32000000000001,0.569690365291024
60,2021-03-03,43.84,0.5970069333505863
61,2021-03-04,37.8,0.6113145152960143
62,2021-03-05,41.52,0.6179478911442476
63,2021-03-06,39.08,0.6259913855272441
64,2021-03-07,39.08,0.6259913855272441
65,2021-03-08,39.08,0.6259913855272441
66,2021-03-09,43.36,0.6319545406262258
67,2021-03-10,45.56,0.6213934299509989
68,2021-03-11,50.480000000000004,0.5893902421707498
69,2021-03-12,53.720000000000006,0.553286400141419
70,2021-03-13,56.52,0.5343090494652167
71,2021-03-14,56.52,0.5343090494652167
72,2021-03-15,56.52,0.5343090494652167
73,2021-03-16,54.8,0.5396147103763514
74,2021-03-17,57.86666666666667,0.5456992280664352
75,2021-03-18,52.333333333333336,0.5525181959207747
76,2021-03-19,50.833333333333336,0.5734842336862308
77,2021-03-20,50.699999999999996,0.5838073879751065
78,2021-03-21,50.699999999999996,0.5838073879751065
79,2021-03-22,50.699999999999996,0.5838073879751065
80,2021-03-23,41.800000000000004,0.5980816699152587
81,2021-03-24,37.66666666666667,0.6251198472642565
82,2021-03-25,37.833333333333336,0.6602942797040006
83,2021-03-26,37.56666666666667,0.6800063913352739
84,2021-03-27,39.56666666666667,0.7015906065616013
85,2021-03-28,39.56666666666667,0.7015906065616013
86,2021-03-29,39.56666666666667,0.7015906065616013
87,2021-03-30,42.03333333333334,0.6895647619453291
88,2021-03-31,44.56666666666667,0.6606493984198775
89,2021-04-01,46.400000000000006,0.6286181781754049
90,2021-04-02,54.56666666666667,0.5844049007764835
91,2021-04-03,54.56666666666667,0.5844049007764835
92,2021-04-04,54.56666666666667,0.5844049007764835
93,2021-04-05,54.56666666666667,0.5844049007764835
94,2021-04-06,53.5,0.5568563101603468
95,2021-04-07,52.53333333333333,0.544956807094331
96,2021-04-08,48.099999999999994,0.5402213319954703
97,2021-04-09,47.5,0.5412630036130327
98,2021-04-10,43.43333333333334,0.5474886518181726
99,2021-04-11,43.43333333333334,0.5474886518181726
100,2021-04-12,43.43333333333334,0.5474886518181726
101,2021-04-13,43.63333333333333,0.5421871722291278
102,2021-04-14,39.96666666666667,0.5395157198357263
103,2021-04-15,47.16666666666668,0.5419412741044172
104,2021-04-16,51.300000000000004,0.5390514277788798
105,2021-04-17,45.26666666666667,0.5587220672038855
106,2021-04-18,45.26666666666667,0.5587220672038855
107,2021-04-19,45.26666666666667,0.5587220672038855
108,2021-04-20,42.866666666666674,0.5911241899933976
109,2021-04-21,49.63333333333333,0.5988266428919952
110,2021-04-22,46.70000000000001,0.6081445311095318
111,2021-04-23,47.699999999999996,0.616284512782314
112,2021-04-24,50.53333333333334,0.5885906090248788
113,2021-04-25,50.53333333333334,0.5885906090248788
114,2021-04-26,50.53333333333334,0.5885906090248788
